202-5-63-214;4;6;9;202;5;63;214;NEA PALATIA;;23 52 14;38 24 31;240;65
202-5-63-217;4;6;9;202;5;63;217;NEA PALATIA;;23 52 14;38 24 31;140;65
202-5-63-219;4;6;9;202;5;63;219;NEA PALATIA;;23 52 14;38 24 31;240;65
202-5-82-221;4;6;9;202;5;82;221;ANAVISSOS;;23 56 08;37 44 44;100;65
202-5-82-222;4;6;9;202;5;82;222;ANAVISSOS;;23 56 08;37 44 44;150;65
202-5-82-223;4;6;9;202;5;82;223;ANAVISSOS;;23 56 08;37 44 44;210;65
202-5-82-225;4;6;9;202;5;82;225;ANAVISSOS;;23 56 08;37 44 44;100;65
202-5-82-227;4;6;9;202;5;82;227;ANAVISSOS;;23 56 08;37 44 44;210;65
202-5-82-231;4;6;9;202;5;82;231;SOUNIO;;24 01 16;37 40 20;40;65
202-5-82-232;4;6;9;202;5;82;232;SOUNIO;;24 01 16;37 40 20;160;65
202-5-82-233;4;6;9;202;5;82;233;SOUNIO;;24 01 16;37 40 20;260;65
202-5-82-234;4;6;9;202;5;82;234;SOUNIO;;24 01 16;37 40 20;100;65
202-5-82-235;4;6;9;202;5;82;235;SOUNIO;;24 01 16;37 40 20;40;65
202-5-82-236;4;6;9;202;5;82;236;SOUNIO;;24 01 16;37 40 20;160;65
202-5-82-237;4;6;9;202;5;82;237;SOUNIO;;24 01 16;37 40 20;260;65
202-5-82-238;4;6;9;202;5;82;238;SOUNIO;;24 01 16;37 40 20;200;65
202-5-82-239;4;6;9;202;5;82;239;SOUNIO;;24 01 16;37 40 20;352;65
202-5-82-241;4;6;9;202;5;82;241;LAVRIO;;24 03 24;37 42 24;210;65
202-5-82-242;4;6;9;202;5;82;242;LAVRIO;;24 03 24;37 42 24;290;65
202-5-82-243;4;6;9;202;5;82;243;LAVRIO;;24 03 24;37 42 24;355;65
202-5-82-247;4;6;9;202;5;82;247;LAVRIO;;24 03 24;37 42 24;355;65
202-5-82-251;4;6;9;202;5;82;251;PORTO RAFTI;;24 00 29;37 52 51;10;65
202-5-82-252;4;6;9;202;5;82;252;PORTO RAFTI;;24 00 29;37 52 51;60;65
202-5-82-253;4;6;9;202;5;82;253;PORTO RAFTI;;24 00 29;37 52 51;130;65
202-5-82-254;4;6;9;202;5;82;254;PORTO RAFTI;;24 00 29;37 52 51;190;65
202-5-82-255;4;6;9;202;5;82;255;PORTO RAFTI;;24 00 29;37 52 51;10;65
202-5-82-256;4;6;9;202;5;82;256;PORTO RAFTI;;24 00 29;37 52 51;60;65
202-5-82-257;4;6;9;202;5;82;257;PORTO RAFTI;;24 00 29;37 52 51;130;65
202-5-82-258;4;6;9;202;5;82;258;PORTO RAFTI;;24 00 29;37 52 51;310;65
202-5-82-259;4;6;9;202;5;82;259;PORTO RAFTI;;24 00 29;37 52 51;310;65
202-5-23-261;4;6;9;202;5;23;261;MEGARA;;23 21 42;37 59 51;50;65
202-5-23-262;4;6;9;202;5;23;262;MEGARA;;23 21 42;37 59 51;170;65
202-5-23-263;4;6;9;202;5;23;263;MEGARA;;23 21 42;37 59 51;270;65
202-5-23-265;4;6;9;202;5;23;265;MEGARA;;23 21 42;37 59 51;50;65
202-5-23-266;4;6;9;202;5;23;266;MEGARA;;23 21 42;37 59 51;170;65
202-5-23-267;4;6;9;202;5;23;267;MEGARA;;23 21 42;37 59 51;270;65
202-5-23-281;4;6;9;202;5;23;281;SALAMINA CNR;;23 29 36;37 57 58;0;65
202-5-23-282;4;6;9;202;5;23;282;SALAMINA CNR;;23 29 36;37 57 58;125;65
202-5-23-283;4;6;9;202;5;23;283;SALAMINA CNR;;23 29 36;37 57 58;275;65
202-5-23-291;4;6;9;202;5;23;291;EGINA;;23 27 42;37 43 31;185;65
202-5-23-292;4;6;9;202;5;23;292;EGINA;;23 27 42;37 43 31;250;65
202-5-23-293;4;6;9;202;5;23;293;EGINA;;23 27 42;37 43 31;305;65
202-5-23-295;4;6;9;202;5;23;295;EGINA;;23 27 42;37 43 31;185;65
202-5-23-297;4;6;9;202;5;23;297;EGINA;;23 27 42;37 43 31;305;65
202-5-82-301;4;6;9;202;5;82;301;NEA MAKRI;;23 56 26;38 04 12;50;65
202-5-82-302;4;6;9;202;5;82;302;NEA MAKRI;;23 56 26;38 04 12;90;65
202-5-82-305;4;6;9;202;5;82;305;NEA MAKRI;;23 56 26;38 04 12;50;65
202-5-82-306;4;6;9;202;5;82;306;NEA MAKRI;;23 56 26;38 04 12;90;65
202-5-23-311;4;6;9;202;5;23;311;ELEFSINA-LOFOS AYLES;;23 30 03;38 03 11;40;65
202-5-23-312;4;6;9;202;5;23;312;ELEFSINA-LOFOS AYLES;;23 30 03;38 03 11;90;65
202-5-23-313;4;6;9;202;5;23;313;ELEFSINA-LOFOS AYLES;;23 30 03;38 03 11;120;65
202-5-23-314;4;6;9;202;5;23;314;ELEFSINA-LOFOS AYLES;;23 30 03;38 03 11;210;65
202-5-23-316;4;6;9;202;5;23;316;ELEFSINA-LOFOS AYLES;;23 30 03;38 03 11;90;65
202-5-23-317;4;6;9;202;5;23;317;ELEFSINA-LOFOS AYLES;;23 30 03;38 03 11;120;65
202-5-23-318;4;6;9;202;5;23;318;ELEFSINA-LOFOS AYLES;;23 30 03;38 03 11;330;65
202-5-23-319;4;6;9;202;5;23;319;ELEFSINA-LOFOS AYLES;;23 30 03;38 03 11;330;65
202-5-23-321;4;6;9;202;5;23;321;AG. SOTIRA;;23 25 29;38 06 10;0;65
202-5-23-322;4;6;9;202;5;23;322;AG. SOTIRA;;23 25 29;38 06 10;90;65
202-5-23-323;4;6;9;202;5;23;323;AG. SOTIRA;;23 25 29;38 06 10;280;65
202-5-63-342;4;6;9;202;5;63;342;INOI;;23 21 34;38 11 40;120;65
202-5-63-343;4;6;9;202;5;63;343;INOI;;23 21 34;38 11 40;320;65
202-5-63-351;4;6;9;202;5;63;351;ERITHRES;;23 19 44;38 12 53;0;65
202-5-63-352;4;6;9;202;5;63;352;ERITHRES;;23 19 44;38 12 53;80;65
202-5-63-353;4;6;9;202;5;63;353;ERITHRES;;23 19 44;38 12 53;270;65
202-5-32-361;4;6;9;202;5;32;361;POROS;;23 26 14;37 27 54;20;65
202-5-32-362;4;6;9;202;5;32;362;POROS;;23 26 14;37 27 54;130;65
202-5-32-363;4;6;9;202;5;32;363;POROS;;23 26 14;37 27 54;170;65
202-5-32-364;4;6;9;202;5;32;364;POROS;;23 26 14;37 27 54;340;65
202-5-32-365;4;6;9;202;5;32;365;POROS;;23 26 14;37 27 54;20;65
202-5-32-369;4;6;9;202;5;32;369;POROS;;23 26 14;37 27 54;340;65
202-5-32-370;4;6;9;202;5;32;370;SPETSES;;23 10 18;37 17 20;0;65
202-5-32-371;4;6;9;202;5;32;371;SPETSES;;23 10 18;37 17 20;80;65
202-5-32-372;4;6;9;202;5;32;372;SPETSES;;23 10 18;37 17 20;200;65
202-5-32-376;4;6;9;202;5;32;376;SPETSES;;23 10 18;37 17 20;200;65
202-5-32-377;4;6;9;202;5;32;377;SPETSES;;23 10 18;37 17 20;310;65
202-5-82-410;4;6;9;202;5;82;410;VARI;;23 49 25;37 49 30;10;65
202-5-82-411;4;6;9;202;5;82;411;VARI;;23 49 25;37 49 30;80;65
202-5-82-412;4;6;9;202;5;82;412;VARI;;23 49 25;37 49 30;120;65
202-5-82-413;4;6;9;202;5;82;413;VARI;;23 49 25;37 49 30;250;65
202-5-82-414;4;6;9;202;5;82;414;VARI;;23 49 25;37 49 30;320;65
202-5-82-416;4;6;9;202;5;82;416;VARI;;23 49 25;37 49 30;120;65
202-5-82-417;4;6;9;202;5;82;417;VARI;;23 49 25;37 49 30;250;65
202-5-82-419;4;6;9;202;5;82;419;VARI;;23 49 25;37 49 30;320;65
202-5-23-421;4;6;9;202;5;23;421;SALAMINA;;23 25 55;37 55 06;45;65
202-5-23-422;4;6;9;202;5;23;422;SALAMINA;;23 25 55;37 55 06;165;65
202-5-23-423;4;6;9;202;5;23;423;SALAMINA;;23 25 55;37 55 06;285;65
202-5-23-424;4;6;9;202;5;23;424;SALAMINA;;23 25 55;37 55 06;230;65
202-5-23-425;4;6;9;202;5;23;425;SALAMINA;;23 25 55;37 55 06;45;65
202-5-23-426;4;6;9;202;5;23;426;SALAMINA;;23 25 55;37 55 06;165;65
202-5-23-427;4;6;9;202;5;23;427;SALAMINA;;23 25 55;37 55 06;285;65
202-5-23-429;4;6;9;202;5;23;429;SALAMINA;;23 25 55;37 55 06;70;65
202-5-63-431;4;6;9;202;5;63;431;ALEPOHORI;;23 11 45;38 07 52;30;65
202-5-63-432;4;6;9;202;5;63;432;ALEPOHORI;;23 11 45;38 07 52;150;65
202-5-63-433;4;6;9;202;5;63;433;ALEPOHORI;;23 11 45;38 07 52;200;65
202-5-63-435;4;6;9;202;5;63;435;ALEPOHORI;;23 11 45;38 07 52;30;65
202-5-63-436;4;6;9;202;5;63;436;ALEPOHORI;;23 11 45;38 07 52;150;65
202-5-63-439;4;6;9;202;5;63;439;ALEPOHORI;;23 11 45;38 07 52;245;65
202-5-82-450;4;6;9;202;5;82;450;KOKKINOKORFI;;24 03 49;37 47 44;0;65
202-5-82-451;4;6;9;202;5;82;451;KOKKINOKORFI;;24 03 49;37 47 44;65;65
202-5-82-452;4;6;9;202;5;82;452;KOKKINOKORFI;;24 03 49;37 47 44;115;65
202-5-82-453;4;6;9;202;5;82;453;KOKKINOKORFI;;24 03 49;37 47 44;170;65
202-5-82-454;4;6;9;202;5;82;454;KOKKINOKORFI;;24 03 49;37 47 44;310;65
202-5-82-457;4;6;9;202;5;82;457;KOKKINOKORFI;;24 03 49;37 47 44;170;65
202-5-82-458;4;6;9;202;5;82;458;KOKKINOKORFI;;24 03 49;37 47 44;235;65
202-5-82-459;4;6;9;202;5;82;459;KOKKINOKORFI;;24 03 49;37 47 44;310;65
202-5-61-461;4;6;9;202;5;61;461;INTRACOM;;23 52 24;37 56 30;40;65
202-5-61-462;4;6;9;202;5;61;462;INTRACOM;;23 52 24;37 56 30;160;65
202-5-61-463;4;6;9;202;5;61;463;INTRACOM;;23 52 24;37 56 30;310;65
202-5-61-466;4;6;9;202;5;61;466;INTRACOM;;23 52 24;37 56 30;160;65
202-5-61-467;4;6;9;202;5;61;467;INTRACOM;;23 52 24;37 56 30;310;65
202-5-100-471;4;6;10;202;5;100;471;HOLARGOS;;23 48 01;38 00 24;25;65
202-5-100-472;4;6;10;202;5;100;472;HOLARGOS;;23 48 01;38 00 24;160;65
202-5-100-473;4;6;10;202;5;100;473;HOLARGOS;;23 48 01;38 00 24;270;65
