202-10-15000-10011;AA0011;34;23 29 20;38 01 43;60;35;ELEFSINA
202-10-15000-40011;AA0014;34;23 29 20;38 01 43;60;35;ELEFSINA
202-10-15000-50011;AA0015;34;23 29 20;38 01 43;60;35;ELEFSINA
202-10-15000-60011;AA0016;34;23 29 20;38 01 43;60;35;ELEFSINA
202-10-15000-10021;AA0021;34;23 27 01;37 54 49;65;35;SALAMINA
202-10-15000-20021;AA0022;34;23 27 01;37 54 49;65;35;SALAMINA
202-10-15000-40021;AA0024;34;23 27 01;37 54 49;65;35;SALAMINA
202-10-15000-50021;AA0025;34;23 27 01;37 54 49;65;35;SALAMINA
202-10-15000-60021;AA0026;34;23 27 01;37 54 49;65;35;SALAMINA
202-10-15000-10031;AA0031;34;23 29 02;37 45 27;60;35;VATHI
202-10-15000-20031;AA0032;34;23 29 02;37 45 27;60;74;VATHI
202-10-15000-50031;AA0035;34;23 29 02;37 45 27;65;35;VATHI
202-10-10100-10041;AA0041;34;23 55 41;37 45 14;65;35;M. OLIMPOS
202-10-10100-20041;AA0042;34;23 55 41;37 45 14;66;35;M. OLIMPOS
202-10-10100-30041;AA0043;34;23 55 41;37 45 14;65;35;M. OLIMPOS
202-10-10100-00464;AA0044;34;23 55 41;37 45 14;65;35;M. OLIMPOS
202-10-10100-00465;AA0045;34;23 55 41;37 45 14;66;35;M. OLIMPOS
202-10-10110-10051;AA0051;34;24 01 14;37 40 17;60;35;VIGLA
202-10-10110-20051;AA0052;34;24 01 14;37 40 17;60;35;VIGLA
202-10-10110-30051;AA0053;34;24 01 14;37 40 17;60;74;VIGLA
202-10-10110-50054;AA0055;34;24 01 14;37 40 17;60;35;VIGLA
202-10-10110-60054;AA0056;34;24 01 14;37 40 17;60;35;VIGLA
202-10-10100-10061;AA0061;34;23 49 11;37 57 47;65;35;IMITTOS
202-10-10100-20061;AA0062;34;23 49 11;37 57 47;60;35;IMITTOS
202-10-10100-40061;AA0064;34;23 49 11;37 57 47;65;35;IMITTOS
202-10-10100-50061;AA0065;34;23 49 11;37 57 47;65;35;IMITTOS
202-10-10300-10071;AA0071;34;23 43 49;38 10 21;60;35;PARNITHA
